geoid,countyfp,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth,pop10,areakm,popdens,pollvoter_dens,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag
26005030200,5,0.0,1,0.26677,0.14183,0.00011,0.25041,3278,29.72644,110.27222,0.0422,0.00386,0.00271,1,0.98005,0,0.06659,0,0.03752,1,0.04682,0,0.03575,1,0.00443,1,0.02278,0,0.92629,0,0.02843,0
26005030300,5,0.0,1,0.22842,0.129,0.0,0.14999,7290,185.76834,39.24242,0.07497,0.03204,0.00166,1,0.98287,0,0.04596,0,0.03519,0,0.05853,0,0.00466,1,0.0,1,0.02939,1,0.953,0,0.06562,0
26005030401,5,0.01228,0,0.2168,0.26087,0.01184,0.23723,7439,93.68745,79.40231,0.07125,0.05119,0.0114,1,1.0,0,0.0488,0,0.05893,0,0.10347,0,0.0,1,0.00272,1,0.03134,0,0.94548,0,0.06638,0
26005030402,5,0.0,1,0.17289,0.0,0.12599,0.17314,4820,89.98823,53.56256,0.05614,0.02657,0.00475,1,0.96346,0,0.05216,0,0.04821,0,0.06181,0,0.02948,1,0.00475,1,0.03195,1,0.92183,0,0.04196,0
26005030500,5,0.01319,0,0.23003,0.20771,1.0,0.11837,7281,96.62326,75.35453,0.06266,0.0799,0.00343,1,0.92615,0,0.12598,0,0.09329,0,0.06354,0,0.00348,1,0.01624,1,0.02642,0,0.90965,0,0.06456,0
26005030600,5,0.09395,0,0.15265,0.11112,0.0,0.13889,4957,186.52014,26.57622,0.0468,0.03496,0.00213,1,0.9683,0,0.10185,0,0.0757,0,0.09855,0,0.00079,1,0.00656,1,0.00993,1,0.969,0,0.04361,0
26005030702,5,0.05552,0,0.17739,0.0972,0.0,0.15679,4763,168.06736,28.33983,0.04671,0.02669,0.00217,1,0.97605,0,0.09768,0,0.0723,0,0.08888,0,0.00685,1,0.00282,1,0.02156,1,0.94377,0,0.04414,0
26005030703,5,0.1478,0,0.14296,0.05239,0.0,0.1411,2652,93.53626,28.35264,0.0196,0.0085,0.1189,0,0.94693,0,0.0932,0,0.16604,0,0.08424,0,0.00476,1,0.0017,1,0.33356,0,0.6413,0,0.02336,0
26005030704,5,0.0,1,0.20905,0.13844,0.0,0.24379,4419,112.49336,39.28232,0.0418,0.02336,0.02194,0,0.95029,0,0.08663,0,0.12007,0,0.07728,0,0.0,1,0.00219,1,0.17925,0,0.80641,0,0.04043,0
26005030800,5,0.0,1,0.36998,0.16327,0.0,0.34146,5101,71.64003,71.20321,0.05166,0.06082,0.00617,1,0.96164,0,0.07417,0,0.07773,0,0.04332,0,0.00519,1,0.001,1,0.06229,0,0.90976,0,0.04738,0
26005030901,5,0.0,1,0.28277,0.03759,0.0,0.23702,2837,101.01422,28.08516,0.02452,0.00886,0.04137,1,0.98516,0,0.0645,0,0.11648,0,0.03611,0,0.01418,1,0.01805,1,0.07963,0,0.83495,0,0.02684,0
26005030902,5,0.00418,0,0.29675,0.04762,0.0,0.17857,2519,84.6016,29.77485,0.02338,0.0148,0.02177,1,0.96937,0,0.0888,0,0.06704,0,0.07063,0,0.00279,1,0.0,1,0.18156,0,0.80168,0,0.02407,0
26005031000,5,0.04528,0,0.13276,0.05882,0.0,0.11905,6214,186.52457,33.31465,0.03652,0.00886,0.07613,0,0.9322,0,0.11168,0,0.21344,0,0.08234,0,0.00179,1,0.05544,1,0.21376,0,0.71988,0,0.04743,0
26005031100,5,0.0,1,0.21617,0.07491,0.0,0.15174,6409,173.52945,36.93321,0.06058,0.06783,0.00897,1,0.96775,0,0.09951,0,0.08743,0,0.06884,0,0.00966,1,0.01073,1,0.02423,1,0.93882,0,0.06168,0
26005031200,5,0.23859,0,0.1814,0.00631,0.0,0.10811,5497,12.78312,430.02005,0.03436,0.18471,0.00673,1,0.92672,0,0.08127,0,0.11873,0,0.15033,0,0.01482,1,0.08124,0,0.08141,0,0.80593,0,0.04767,0
26005031300,5,0.0649,0,0.18285,0.25,0.0,0.19491,4692,186.64996,25.13796,0.04211,0.02277,0.01614,1,0.98455,0,0.10691,0,0.12246,0,0.08052,0,0.0,1,0.0089,1,0.01966,0,0.95322,0,0.04349,0
26005031800,5,0.02626,0,0.28473,0.00584,0.0,0.20294,4486,63.36276,70.79869,0.03702,0.02497,0.02032,1,0.9339,0,0.1378,0,0.07596,0,0.07479,0,0.0,1,0.0,1,0.01496,1,0.94559,0,0.04184,0
26005031900,5,0.14089,0,0.27526,0.19309,0.0,0.22204,5007,29.87878,167.57712,0.03564,0.03888,0.01962,1,0.90523,0,0.14963,0,0.12576,0,0.10323,0,0.0096,1,0.00764,1,0.01724,1,0.92615,0,0.04532,0
26005032000,5,0.14485,0,0.22918,0.07111,0.0,0.21025,5260,51.75063,101.64128,0.03958,0.01807,0.0,1,0.94428,0,0.11554,0,0.21139,0,0.0395,0,0.0,1,0.00116,1,0.02428,1,0.96493,0,0.04637,0
26005032100,5,0.0,1,0.26908,0.20221,0.0,0.22417,4496,42.58889,105.56743,0.04303,0.05291,0.0,1,0.99198,0,0.05913,0,0.08499,0,0.07255,0,0.0,1,0.00194,1,0.01184,1,0.95759,0,0.0412,0
26005032200,5,0.10264,0,0.26992,0.08286,0.2872,0.17327,5286,5.22878,1010.94287,0.03759,0.03181,0.00062,1,0.90751,0,0.09241,0,0.17123,0,0.08154,0,0.00465,1,0.04009,1,0.1443,0,0.81096,0,0.04508,0
26005032401,5,0.0,1,0.2249,0.03155,0.05302,0.07429,1520,17.91546,84.8429,0.01746,0.12954,0.07455,0,0.94219,0,0.0959,0,0.13577,0,0.08506,0,0.00491,1,0.03762,1,0.4602,0,0.45692,0,0.01259,0
26005032402,5,0.0,1,0.23507,0.15214,0.29395,0.20368,3751,95.69131,39.19896,0.04783,0.04708,0.01709,1,0.94897,0,0.07418,0,0.13546,0,0.09568,0,0.01439,1,0.00151,1,0.07271,0,0.87882,0,0.03566,0
26005032600,5,0.58533,0,0.27456,0.06216,0.00435,0.15714,1434,2.49253,575.31905,0.0066,0.00101,0.0,1,0.97801,0,0.07683,0,0.05194,0,0.12948,0,0.01722,1,0.00551,1,0.13085,1,0.83747,0,0.01489,0
26005990000,5,0.0,1,0.24981,0.07421,0.0,0.23412,0,2566.13185,0.0,0.0,,,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0,1
