idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
33,-85.22996,42.42219,0.2815,0.0,0.67739,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.11322,0.5855,0.4668,0.46627
116,-85.37587,42.43533,0.69562,0.0,0.70531,0.53819,0.41218,0.42691,0.09306,0.0,0.0,0.08608,0.79217,0.85576,0.49882,0.4976
127,-85.26902,42.43626,0.2815,0.0,0.67933,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.1613,0.75921,0.48244,0.48118
137,-85.17188,42.43702,0.07018,0.85033,0.61225,0.33307,0.34587,0.63203,0.32028,0.7627,0.54595,0.2912,0.829,0.83908,0.63534,0.66392
165,-85.37599,42.44253,0.69562,0.0,0.62078,0.53819,0.41218,0.42691,0.09306,0.0,0.0,0.08608,0.79217,0.66848,0.47889,0.47901
227,-85.2498,42.45081,0.2815,0.0,0.64366,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.1613,0.85808,0.48513,0.48361
228,-85.24009,42.45089,0.2815,0.0,0.44979,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.1613,0.87476,0.45952,0.45744
276,-85.24991,42.45801,0.2815,0.0,0.44979,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.1613,0.87476,0.45952,0.45744
321,-85.28889,42.46488,0.2815,0.0,0.46956,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.16518,0.8228,0.45831,0.45628
337,-85.13339,42.46608,0.07018,0.0,0.58744,0.33307,0.34587,0.63203,0.32028,0.7627,0.54595,0.2912,0.829,0.90384,0.5717,0.58706
338,-85.12367,42.46615,0.07018,0.0,0.46297,0.33307,0.34587,0.63203,0.32028,0.7627,0.54595,0.2912,0.829,0.89919,0.55591,0.5713
370,-85.289,42.47208,0.2815,0.0,0.48197,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.16363,0.981,0.47193,0.46946
373,-85.25984,42.47232,0.2815,0.0,0.72276,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.1613,0.77588,0.4887,0.48732
422,-85.25995,42.47952,0.2815,0.85033,0.66809,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.1613,0.91663,0.55489,0.5657
525,-85.21155,42.49429,0.2815,0.0,0.4967,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.1613,0.74137,0.45871,0.45759
553,-85.41585,42.49972,0.69562,0.93098,0.69794,0.53819,0.41218,0.42691,0.09306,0.0,0.0,0.08608,0.45948,0.73478,0.48155,0.48746
554,-85.40613,42.49982,0.69562,0.93098,0.85847,0.53819,0.41218,0.42691,0.09306,0.0,0.0,0.08608,0.47615,0.31097,0.5503,0.57279
592,-85.51323,42.50594,0.13649,0.89802,0.78286,0.05855,0.52889,0.25746,0.68321,0.0,0.28344,0.94145,0.09267,0.97363,0.42374,0.40341
598,-85.45488,42.50654,0.13649,0.89802,0.6739,0.05855,0.52889,0.25746,0.68321,0.0,0.28344,0.94145,0.07871,0.77898,0.40318,0.38238
603,-85.40625,42.50701,0.69562,0.93874,0.73207,0.53819,0.41218,0.42691,0.09306,0.0,0.0,0.08608,0.46064,0.7658,0.53545,0.55729
633,-85.11449,42.50939,0.07018,0.88057,0.48081,0.33307,0.34587,0.63203,0.32028,0.7627,0.54595,0.2912,0.94378,0.93757,0.65273,0.68328
641,-85.51336,42.51314,0.0,0.0,0.46181,0.6867,0.69833,0.80807,0.93021,0.39589,0.69833,0.59015,0.24195,0.96588,0.54808,0.53289
671,-85.22158,42.5158,0.2815,0.0,0.55448,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.91237,0.67895,0.52393,0.52049
690,-85.5135,42.52033,0.0,0.0,0.46181,0.6867,0.69833,0.80807,0.93021,0.39589,0.69833,0.59015,0.24195,0.96588,0.54808,0.53289
719,-85.23141,42.52292,0.2815,0.89802,0.45793,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.91237,0.95308,0.59292,0.601
720,-85.22168,42.523,0.2815,0.89802,0.45793,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.91237,0.95308,0.59292,0.601
721,-85.21195,42.52307,0.2815,0.0,0.41218,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.91276,0.86739,0.5162,0.51135
724,-85.18277,42.5233,0.07018,0.0,0.40675,0.33307,0.34587,0.63203,0.32028,0.7627,0.54595,0.2912,0.97131,0.74564,0.57461,0.59354
739,-85.51364,42.52753,0.0,0.0,0.46181,0.6867,0.69833,0.80807,0.93021,0.39589,0.69833,0.59015,0.24195,0.96588,0.54808,0.53289
763,-85.28015,42.52972,0.2815,0.96549,0.38775,0.90694,0.58782,0.3164,0.20977,0.28538,0.34238,0.3575,0.87902,0.93021,0.58181,0.59055
