Unnamed: 0,name,address,lat,lon
1,,"200 CHARLES ORNDORF DR BRIGHTON, MI 48116",42.54017,-83.79262
2,,"200 N FIRST ST BRIGHTON, MI 48116",42.53052,-83.78385
3,,"125 S. CHURCH STREET BRIGHTON, MI 48116",42.52887,-83.77571
4,,"10711 SPENCER ROAD BRIGHTON, MI 48114",42.53816,-83.73665
5,,"1580 S. OLD U.S. 23 BRIGHTON, MI 48114",42.58004,-83.75418
6,,"4363 BUNO ROAD BRIGHTON, MI 48114",42.53958,-83.74701
7,,"9600 HILTON RD BRIGHTON, MI 48114",42.55093,-83.75992
8,,"10590 GRAND RIVER AVE. BRIGHTON, MI 48116",42.51725,-83.74369
9,,"2201 S OLD US 23 BRIGHTON, MI 48114",42.57044,-83.7528
10,,"10518 ANTCLIFF ROAD FOWLERVILLE, MI 48836",42.75186,-83.99408
11,,"8015 N. FOWLERVILLE ROAD FOWLERVILLE, MI 48836",42.71504,-84.07665
12,,"4492 CENTER ROAD LINDEN, MI 48451",42.73298,-83.86308
13,,"7526 GRAND RIVER BRIGHTON, MI 48114",42.56484,-83.80379
14,,"7679 BRIGHTON RD BRIGHTON, MI 48116",42.52928,-83.7983
15,,"4680 BAUER ROAD BRIGHTON, MI 48116",42.53332,-83.81302
16,,"4440 BRIGHTON RD BRIGHTON, MI 48116",42.52558,-83.86271
17,,"7372 W. GRAND RIVER BRIGHTON, MI 48114",42.56674,-83.8076
18,,"3750 CLEARY DRIVE HOWELL, MI 48843",42.58663,-83.88002
19,,"4125 W. CROOKED LAKE HOWELL, MI 48843",42.55977,-83.86736
20,,"8900 LEE ROAD BRIGHTON, MI 48116",42.50663,-83.77022
21,,"10111 FIELDCREST BRIGHTON, MI 48116",42.45519,-83.75158
22,,"9919 N RUSHTON RD SOUTH LYON, MI 48178",42.46022,-83.69475
23,,"10001 SILVER LAKE ROAD BRIGHTON, MI 48116",42.46812,-83.75423
24,,"8415 MALTBY ROAD BRIGHTON, MI 48116",42.50446,-83.7843
25,,"10774 NINE MILE RD WHITMORE LAKE, MI 48189",42.44277,-83.73705
26,,"10407 MERRILL RD WHITMORE LAKE, MI 48189",42.45131,-83.82135
27,,"7701 E. M-36 HAMBURG, MI 48139",42.45233,-83.7963
28,,"2130 E. M-36 PINCKNEY, MI 48169",42.46048,-83.9055
29,,"3666 E M-36 HAMBURG, MI 48139",42.46592,-83.87396
30,,"6060 E. M-36 HAMBURG, MI 48139",42.46068,-83.82715
31,,"10411 MERRILL ROAD HAMBURG, MI 48139",42.45096,-83.82048
32,,"6520 W. GRAND RIVER FOWLERVILLE, MI 48836",42.6606,-84.036
33,,"9525 HIGHLAND RD. HOWELL, MI 48843",42.63415,-83.76456
34,,"1425 W. GRAND RIVER HOWELL, MI 48843",42.61245,-83.95251
35,,"611 E GRAND RIVER HOWELL, MI 48843",42.60463,-83.92368
36,,"1240 PACKARD DRIVE HOWELL, MI 48843",42.61612,-83.98548
37,,"3525 BYRON ROAD HOWELL, MI 48855",42.65156,-83.95534
38,,"2050 BRADLEY ROAD WEBBERVILLE, MI 48892",42.56689,-84.11363
39,,"8201 W. IOSCO RD. FOWLERVILLE, MI 48836",42.56748,-84.07218
40,,"2877 W. COON LAKE RD. HOWELL, MI 48843",42.54019,-83.9687
41,,"2099 N. HACKER ROAD HOWELL, MI 48855",42.63241,-83.79854
42,,"1577 N. LATSON RD. HOWELL, MI 48843",42.62332,-83.87739
43,,"3125 GOLF CLUB ROAD HOWELL, MI 48843",42.60287,-83.88995
44,,"1661 N. LATSON ROAD HOWELL, MI 48843",42.62495,-83.87545
45,,"3280 W M-36 PINCKNEY, MI 48169",42.46578,-83.97198
46,,"11211 DEXTER-PINCKNEY RD. PINCKNEY, MI 48169",42.4369,-83.93557
47,,"10235 WHITE LAKE ROAD FENTON, MI 48430",42.77239,-83.75841
48,,"8420 RUNYAN LAKE ROAD FENTON, MI 48430",42.73448,-83.76224
49,,"126 WEBB ST GREGORY, MI 48137",42.45896,-84.08324
