osm_id,code,fclass,name,point_x,point_y,lon,lat
353940141,2082,school,Hillside School,-84.3694451000,43.7694708000,-84.36945,43.76947
353960625,2082,school,Perkins School,-84.3680545000,43.7022494000,-84.36805,43.70225
353961236,2082,school,Pleasant View School,-84.5586175000,43.6125291000,-84.55862,43.61253
353970114,2082,school,Saint Paul School,-84.3733316000,43.6705831000,-84.37333,43.67058
353971464,2082,school,Sanford School,-84.3922219000,43.6825275000,-84.39222,43.68253
3875676757,2303,cafe,Bean Me Up,-84.5864830000,43.7566560000,-84.58648,43.75666
353914876,2082,school,Ashman School,-84.1938767000,43.6244706000,-84.19388,43.62447
353915488,2082,school,Barrett School,-84.1972107000,43.6416928000,-84.19721,43.64169
353976969,2082,school,State Street School,-84.2336339000,43.6142275000,-84.23363,43.61423
2053169771,2303,cafe,Tim Hortons,-84.2121190000,43.6136761000,-84.21212,43.61368
2146088002,2083,kindergarten,Montessori Children's House,-84.2264719000,43.6443042000,-84.22647,43.6443
2343223463,2501,supermarket,Kroger,-84.2281854000,43.6246701000,-84.22819,43.62467
3175863050,2501,supermarket,Family Fare,-84.2507104000,43.6425702000,-84.25071,43.64257
3175888663,2303,cafe,Grounds for a Better World,-84.2473182000,43.6431724000,-84.24732,43.64317
3213632134,2303,cafe,Starbucks,-84.2480240000,43.6626819000,-84.24802,43.66268
3297918665,2013,nursing_home,Brittany Manor,-84.1830567000,43.6272808000,-84.18306,43.62728
3369485178,2501,supermarket,Aldi,-84.2413813000,43.6620023000,-84.24138,43.662
3470386306,2082,school,Nature Preschool,-84.2939679000,43.6000910000,-84.29397,43.60009
4759066950,2083,kindergarten,St. John's Episcopal Cooperative Preschool,-84.2325535000,43.6309592000,-84.23255,43.63096
6336636402,2303,cafe,Biggby Coffee,-84.2182352000,43.6201539000,-84.21824,43.62015
6339636044,2501,supermarket,The Bridge Food Center,-84.2178564000,43.6144743000,-84.21786,43.61447
6339636045,2303,cafe,Cafe American,-84.2186532000,43.6145008000,-84.21865,43.6145
7097565923,2303,cafe,Whiting Forest Café,-84.2478109000,43.6294594000,-84.24781,43.62946
7702822985,2303,cafe,The Loch Coffee Company,-84.2447779000,43.6135637000,-84.24478,43.61356
353942366,2082,school,Hubbard School,-84.1794347000,43.7197473000,-84.17943,43.71975
353918082,2082,school,Cassidy School,-84.2261032000,43.7200257000,-84.2261,43.72003
353947144,2082,school,Leiphart School,-84.2277686000,43.6778039000,-84.22777,43.6778
353952905,2082,school,Mills School,-84.2327716000,43.7708584000,-84.23277,43.77086
3712965189,2012,community_centre,North Midland Family Center,-84.2640174000,43.7857782000,-84.26402,43.78578
3875676761,2008,town_hall,City Hall,-84.5875143000,43.7571628000,-84.58751,43.75716
3875676762,2007,library,Coleman Area Library,-84.5823926000,43.7550920000,-84.58239,43.75509
3875676798,2002,fire_station,,-84.5836583000,43.7556554000,-84.58366,43.75566
5560631253,2002,fire_station,,-84.4073945000,43.7473466000,-84.40739,43.74735
6345620182,2002,fire_station,Douglass Safety Systems LLC,-84.3691057000,43.6885956000,-84.36911,43.6886
3297914182,2002,fire_station,Midland Fire Station No. 1 - Headquarters,-84.2177518000,43.6154945000,-84.21775,43.61549
3813325281,2007,library,Grace A. Dow Memorial Library,-84.2480696000,43.6258360000,-84.24807,43.62584
3817937228,2001,police,Midland Law Enforcement Center,-84.2278383000,43.6240751000,-84.22784,43.62408
