geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
26155030100,155,0.00429,1,0.97688,0,0.09571,0,0.08506,0,0.0721,0,0.00135,1,0.01165,1,0.00726,1,0.95593,0,0.08644,0,0.0,1,0.02466,0.08852,5978,286.41703,20.87166,0.25462,0.19995,0.28782,0.1506
26155030200,155,0.01227,0,0.96444,0,0.13096,0,0.08384,0,0.09731,0,0.01506,1,0.00405,1,0.03533,0,0.92847,0,0.05254,0,0.0,1,0.01548,0.06106,3556,220.54039,16.12403,0.16422,0.00727,1e-05,0.11777
26155030300,155,0.00389,1,0.89309,0,0.16636,0,0.12384,0,0.08436,0,0.0,1,0.00124,1,0.01176,1,0.96287,0,0.07436,0,0.0,1,0.13291,0.07836,4955,84.91962,58.3493,0.26203,0.12284,0.28528,0.13489
26155030400,155,0.00214,1,0.88944,0,0.16805,0,0.12419,0,0.08018,0,0.0,1,0.00068,1,0.03309,1,0.93586,0,0.04158,0,0.0641,0,0.14323,0.04081,2817,2.7044,1041.63679,0.25353,0.08904,4e-05,0.15963
26155030500,155,0.01452,1,0.92521,0,0.0939,0,0.18045,0,0.03957,0,0.0,1,0.00869,1,0.03207,1,0.92176,0,0.04786,0,0.29214,0,0.01089,0.03558,3403,1.88751,1802.90706,0.19897,0.05857,0.33333,0.06559
26155030600,155,0.0,1,0.83687,0,0.16167,0,0.30898,0,0.17006,0,0.0,1,0.02036,1,0.07605,1,0.85569,0,0.02388,0,0.00369,0,0.11663,0.02232,1896,1.33588,1419.29026,0.18747,0.07011,0.0,0.0697
26155030700,155,0.00897,1,0.9478,0,0.12615,0,0.22965,0,0.13422,0,0.0,1,0.01105,1,0.04972,1,0.93728,0,0.04299,0,0.32315,0,0.01468,0.02658,3162,2.33923,1351.7293,0.16782,0.15552,0.0,0.09691
26155030800,155,0.01437,1,0.86716,0,0.19636,0,0.19844,0,0.20055,0,0.00308,1,0.00678,1,0.02033,0,0.95533,0,0.04523,0,0.26172,0,0.04312,0.03205,3624,2.86443,1265.17499,0.15398,0.05083,0.0,0.04984
26155031301,155,0.003,1,0.98931,0,0.09868,0,0.072,0,0.07288,0,0.00288,1,0.0,1,0.0338,0,0.93886,0,0.06069,0,0.0,1,0.02202,0.06847,4287,140.64721,30.48052,0.21084,0.10028,1.0,0.14123
26155031302,155,0.00075,1,0.99182,0,0.17067,0,0.07513,0,0.09148,0,0.00048,1,0.0,1,0.00845,1,0.97031,0,0.06143,0,0.10251,0,0.02099,0.05985,4171,142.68512,29.2322,0.24962,0.12468,0.99998,0.1659
26155031401,155,0.0,1,0.97849,0,0.09642,0,0.06077,0,0.0626,0,0.00343,1,0.0072,1,0.03018,0,0.94855,0,0.08466,0,0.0,1,0.0297,0.10244,6284,169.14946,37.15058,0.21115,0.25,0.0,0.15493
26155031402,155,0.0,1,0.98768,0,0.11304,0,0.08257,0,0.05568,0,0.00403,1,0.00242,1,0.0113,1,0.96503,0,0.05582,0,0.04474,0,0.00585,0.0559,3810,70.94634,53.70256,0.30437,0.28571,0.45343,0.15789
26155031500,155,0.00382,1,0.9725,0,0.09213,0,0.04026,0,0.0863,0,0.00094,1,0.00485,1,0.02986,0,0.95419,0,0.08906,0,0.04281,0,0.06044,0.09125,6515,90.13882,72.2774,0.20307,0.0,0.0,0.10465
26155031600,155,0.01495,1,0.95852,0,0.13216,0,0.13781,0,0.08574,0,0.00184,1,0.02569,1,0.08023,0,0.86654,0,0.05619,0,0.45067,0,0.19713,0.03005,4059,17.74397,228.75371,0.21015,0.16945,0.0,0.08078
26155031700,155,0.00806,1,0.90638,0,0.17151,0,0.10417,0,0.04934,0,0.00656,1,0.00146,1,0.04108,1,0.94069,0,0.05769,0,0.0,1,0.06101,0.0926,4071,73.14027,55.66017,0.22382,0.1607,0.21205,0.09777
26155031800,155,0.00607,1,0.93912,0,0.14994,0,0.12934,0,0.06268,0,0.00899,1,0.0,1,0.03207,0,0.94193,0,0.06331,0,0.0,1,0.05814,0.0644,4318,61.75485,69.92163,0.23656,0.12533,1.0,0.10694
26155031900,155,0.00398,1,0.92733,0,0.20274,0,0.15895,0,0.0955,0,0.0,1,0.0,1,0.00836,1,0.95414,0,0.05628,0,0.09328,0,0.04312,0.04973,3742,31.83262,117.55237,0.24234,0.10582,0.0,0.09578
