provider,lat,lon,num_stops_per_week,score
AAATA,42.24371,-83.61465,22,1
AAATA,42.24102,-83.61235,44,1
AAATA,42.24101,-83.60836,44,1
AAATA,42.24105,-83.60252,22,1
AAATA,42.23004,-83.59693,22,1
AAATA,42.23108,-83.59353,22,1
AAATA,42.23111,-83.59119,22,1
AAATA,42.23114,-83.58764,22,1
AAATA,42.2301,-83.58332,22,1
AAATA,42.22705,-83.58214,22,1
AAATA,42.22708,-83.57848,22,1
AAATA,42.22794,-83.57597,22,1
AAATA,42.22504,-83.57284,22,1
AAATA,42.22155,-83.57268,22,1
AAATA,42.2412,-83.60421,44,1
AAATA,42.24118,-83.60707,44,1
AAATA,42.24115,-83.60948,44,1
AAATA,42.23507,-83.58359,22,1
AAATA,42.23516,-83.58759,22,1
AAATA,42.23526,-83.59051,22,1
AAATA,42.2363,-83.59664,22,1
AAATA,42.26147,-83.59407,22,1
AAATA,42.26386,-83.59275,22,1
AAATA,42.2671,-83.58869,22,1
AAATA,42.26635,-83.57372,22,1
AAATA,42.23588,-83.61071,22,1
AAATA,42.23321,-83.61749,20,1
AAATA,42.23305,-83.61941,22,1
AAATA,42.23117,-83.62028,22,1
AAATA,42.22952,-83.61968,22,1
AAATA,42.22827,-83.62452,22,1
AAATA,42.23089,-83.62573,22,1
AAATA,42.23083,-83.64412,20,1
AAATA,42.23303,-83.64499,20,1
AAATA,42.23605,-83.64538,20,1
AAATA,42.23675,-83.64326,20,1
AAATA,42.23796,-83.63962,20,1
AAATA,42.23927,-83.63566,20,1
AAATA,42.24019,-83.6328,20,1
AAATA,42.24093,-83.62909,20,1
AAATA,42.24096,-83.6244,20,1
AAATA,42.28742,-83.78595,22,1
AAATA,42.28928,-83.79111,22,1
AAATA,42.29035,-83.79467,22,1
AAATA,42.25142,-83.74963,22,1
AAATA,42.24632,-83.74982,22,1
AAATA,42.24595,-83.75427,22,1
AAATA,42.24462,-83.75645,44,1
AAATA,42.24526,-83.75639,44,1
AAATA,42.2784,-83.74736,365,4
AAATA,42.28339,-83.73556,12,1
AAATA,42.28646,-83.7317,12,1
AAATA,42.28643,-83.7329,13,1
AAATA,42.25224,-83.7496,22,1
AAATA,42.28776,-83.70687,13,1
AAATA,42.28773,-83.70702,12,1
AAATA,42.2813,-83.74554,46,1
AAATA,42.24751,-83.57509,22,1
AAATA,42.24309,-83.76983,20,1
AAATA,42.23209,-83.63592,22,1
AAATA,42.2655,-83.7787,69,1
AAATA,42.24247,-83.74382,42,1
AAATA,42.24265,-83.74352,44,1
AAATA,42.2793,-83.75168,22,1
AAATA,42.24616,-83.62763,48,1
AAATA,42.28134,-83.7386,48,1
AAATA,42.28122,-83.73821,46,1
AAATA,42.28228,-83.73336,46,1
AAATA,42.29101,-83.73741,22,1
AAATA,42.29467,-83.73295,22,1
AAATA,42.29622,-83.73082,20,1
AAATA,42.29783,-83.72081,22,1
AAATA,42.29802,-83.72092,20,1
AAATA,42.24023,-83.61756,42,1
AAATA,42.23724,-83.6175,64,1
AAATA,42.24397,-83.75437,22,1
AAATA,42.23222,-83.63596,44,1
AAATA,42.28492,-83.79884,44,1
AAATA,42.30543,-83.69294,20,1
AAATA,42.30859,-83.69272,20,1
AAATA,42.31021,-83.69277,20,1
AAATA,42.31217,-83.69279,20,1
AAATA,42.30976,-83.7076,20,1
AAATA,42.27806,-83.73528,22,1
AAATA,42.28412,-83.79295,22,1
AAATA,42.29074,-83.79961,22,1
AAATA,42.28575,-83.78112,22,1
AAATA,42.24232,-83.61484,22,1
AAATA,42.2423,-83.61567,44,1
AAATA,42.2423,-83.61545,44,1
AAATA,42.25659,-83.63367,11,1
AAATA,42.25587,-83.6289,11,1
AAATA,42.2423,-83.61525,26,1
AAATA,42.25612,-83.62966,13,1
AAATA,42.24231,-83.61586,42,1
AAATA,42.30375,-83.7074,44,1
AAATA,42.24857,-83.61606,13,1
AAATA,42.27837,-83.74702,44,1
AAATA,42.2362,-83.62577,22,1
AAATA,42.26013,-83.64975,13,1
AAATA,42.2647,-83.65793,13,1
AAATA,42.27837,-83.74713,23,1
AAATA,42.2299,-83.71887,45,1
AAATA,42.26475,-83.65802,11,1
AAATA,42.24781,-83.74928,22,1
AAATA,42.24368,-83.7543,22,1
AAATA,42.25431,-83.75236,22,1
AAATA,42.28867,-83.76525,22,1
AAATA,42.31658,-83.70269,20,1
AAATA,42.27837,-83.74634,65,1
AAATA,42.2289,-83.62175,22,1
AAATA,42.26842,-83.58651,22,1
AAATA,42.24101,-83.61965,20,1
AAATA,42.27944,-83.74733,42,1
AAATA,42.2409,-83.61833,20,1
AAATA,42.2791,-83.74734,34,1
AAATA,42.27011,-83.58291,22,1
AAATA,42.26973,-83.58024,22,1
AAATA,42.26459,-83.57098,22,1
AAATA,42.27886,-83.74734,66,1
AAATA,42.23191,-83.57042,22,1
AAATA,42.26785,-83.77429,20,1
AAATA,42.27822,-83.74728,92,2
AAATA,42.26676,-83.7764,20,1
AAATA,42.30025,-83.69326,42,1
AAATA,42.2876,-83.71505,13,1
AAATA,42.2874,-83.71514,12,1
