name,address,lat,lon
,"15800 WHITE ALLEN PARK, MI 48101",42.25826,-83.21108
,"18401 CHAMPAIGN ALLEN PARK, MI 48101",42.24727,-83.2275
,"8400 PARK ALLEN PARK, MI 48101",42.246,-83.21429
,"9901 ALLEN ALLEN PARK, MI 48101",42.23648,-83.23026
,"10944 REECK ALLEN PARK, MI 48101",42.22823,-83.22018
,"15603 WICK ALLEN PARK, MI 48101",42.24208,-83.21475
,"23610 OUTER DR ALLEN PARK, MI 48101",42.27628,-83.20634
,"409 W. COLUMBIA BELLEVILLE, MI 48111",42.20371,-83.49148
,"23925 ARSENAL ROAD FLAT ROCK, MI 48134",42.13148,-83.28823
,"21320 ROCHE ROAD TRENTON, MI 48183",42.1036,-83.23951
,"30550 W. JEFFERSON GIBRALTAR, MI 48173",42.08545,-83.21195
,"21311 TELEGRAPH ROAD TRENTON, MI 48183",42.14988,-83.26564
,"22700 SIBLEY ROAD RIVERVIEW, MI 48193",42.17054,-83.25336
,"24787 VAN HORN ROAD FLAT ROCK, MI 48134",42.1193,-83.27293
,"250 N DENTON RD CANTON, MI 48187",42.3074,-83.52633
,"7001 N. HAGGERTY RD CANTON, MI 48187",42.33407,-83.44593
,"40440 PALMER CANTON, MI 48188",42.29512,-83.43886
,"8055 FLEET CANTON, MI 48187",42.34514,-83.46544
,"45083 HANFORD RD CANTON, MI 48187",42.32888,-83.48762
,"43721 HANFORD RD CANTON, MI 48187",42.32777,-83.47184
,"46181 JOY CANTON, MI 48187",42.35018,-83.49756
,"1275 HAGGERTY N CANTON, MI 48187",42.31759,-83.44869
,"50400 CHERRY HILL RD CANTON, MI 48188",42.30652,-83.53554
,"8415 N. CANTON CENTER CANTON, MI 48187",42.34689,-83.4894
,"44800 WARREN CANTON, MI 48187",42.33742,-83.48327
,"1100 SHELDON S CANTON, MI 48188",42.29923,-83.47869
,"1000 HAGGERTY S CANTON, MI 48188",42.30163,-83.44943
,"8400 N BECK CANTON, MI 48187",42.34843,-83.49769
,"46250 CHERRY HILL CANTON, MI 48187",42.30737,-83.49357
